log_id,timestamp,order_id,action,detail,level
LOG000023,2026-06-06 08:44:39,WO0005,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000024,2026-06-06 08:44:39,WO0006,PROCESS_START,开始处理工单 WO0006,INFO
LOG000025,2026-06-06 08:44:39,WO0006,RULE_SELECTED,选用规则: R006 - 变更单SLA,INFO
LOG000026,2026-06-06 08:44:39,WO0006,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000027,2026-06-06 08:44:39,WO0006,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000028,2026-06-06 08:44:39,WO0007,PROCESS_START,开始处理工单 WO0007,INFO
LOG000029,2026-06-06 08:44:39,WO0007,RULE_SELECTED,选用规则: R007 - 问题单SLA,INFO
LOG000030,2026-06-06 08:44:39,WO0007,RISK_ASSESS,"响应风险: NORMAL, 解决风险: UNKNOWN, 综合风险: NORMAL",INFO
LOG000031,2026-06-06 08:44:39,WO0007,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000032,2026-06-06 08:44:39,WO0008,PROCESS_START,开始处理工单 WO0008,INFO
LOG000033,2026-06-06 08:44:39,WO0008,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000034,2026-06-06 08:44:39,WO0008,RISK_ASSESS,"响应风险: SEVERE, 解决风险: SEVERE, 综合风险: SEVERE",INFO
LOG000035,2026-06-06 08:44:39,WO0008,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000036,2026-06-06 08:44:39,WO0009,PROCESS_START,开始处理工单 WO0009,INFO
LOG000037,2026-06-06 08:44:39,WO0009,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000038,2026-06-06 08:44:39,WO0009,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: SEVERE, 综合风险: SEVERE",INFO
LOG000039,2026-06-06 08:44:39,WO0009,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000040,2026-06-06 08:44:39,WO0010,PROCESS_START,开始处理工单 WO0010,INFO
LOG000041,2026-06-06 08:44:39,WO0010,RULE_SELECTED,选用规则: R008 - P3服务请求SLA,INFO
LOG000042,2026-06-06 08:44:39,WO0010,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000043,2026-06-06 08:44:39,WO0010,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000044,2026-06-06 08:44:39,WO0011,PROCESS_START,开始处理工单 WO0011,INFO
LOG000045,2026-06-06 08:44:39,WO0011,RULE_SELECTED,选用规则: R009 - P0变更单SLA,INFO
LOG000046,2026-06-06 08:44:39,WO0011,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000047,2026-06-06 08:44:39,WO0011,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000048,2026-06-06 08:44:39,WO0012,PROCESS_START,开始处理工单 WO0012,INFO
LOG000049,2026-06-06 08:44:39,WO0012,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000050,2026-06-06 08:44:39,WO0012,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000051,2026-06-06 08:44:39,WO0012,RISK_ASSESS,"响应风险: SEVERE, 解决风险: OVERDUE, 综合风险: SEVERE",INFO
LOG000052,2026-06-06 08:44:39,WO0012,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000053,2026-06-06 08:44:39,WO0013,PROCESS_START,开始处理工单 WO0013,INFO
LOG000054,2026-06-06 08:44:39,WO0013,RULE_MATCH,未匹配到专用规则，使用默认规则 DEFAULT,WARNING
LOG000055,2026-06-06 08:44:39,WO0013,RULE_SELECTED,选用规则: DEFAULT - 默认SLA规则,INFO
LOG000056,2026-06-06 08:44:39,WO0013,RISK_ASSESS,"响应风险: OVERDUE, 解决风险: UNKNOWN, 综合风险: OVERDUE",INFO
LOG000057,2026-06-06 08:44:39,WO0013,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000058,2026-06-06 08:44:39,WO0014,PROCESS_START,开始处理工单 WO0014,INFO
LOG000059,2026-06-06 08:44:39,WO0014,RULE_SELECTED,选用规则: R005 - 服务请求SLA,INFO
LOG000060,2026-06-06 08:44:39,WO0014,RISK_ASSESS,"响应风险: SEVERE, 解决风险: NORMAL, 综合风险: SEVERE",INFO
LOG000061,2026-06-06 08:44:39,WO0014,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000062,2026-06-06 08:44:39,WO0015,PROCESS_START,开始处理工单 WO0015,INFO
LOG000063,2026-06-06 08:44:39,WO0015,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000064,2026-06-06 08:44:39,WO0015,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000065,2026-06-06 08:44:39,WO0015,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000066,2026-06-06 08:44:39,WO0016,PROCESS_START,开始处理工单 WO0016,INFO
LOG000067,2026-06-06 08:44:39,WO0016,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000068,2026-06-06 08:44:39,WO0016,RISK_ASSESS,"响应风险: NORMAL, 解决风险: SEVERE, 综合风险: SEVERE",INFO
LOG000069,2026-06-06 08:44:39,WO0016,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000070,2026-06-06 08:44:39,WO0017,PROCESS_START,开始处理工单 WO0017,INFO
LOG000071,2026-06-06 08:44:39,WO0017,RULE_MATCH,未匹配到专用规则，使用默认规则 DEFAULT,WARNING
LOG000072,2026-06-06 08:44:39,WO0017,RULE_SELECTED,选用规则: DEFAULT - 默认SLA规则,INFO
LOG000073,2026-06-06 08:44:39,WO0017,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000074,2026-06-06 08:44:39,WO0017,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000075,2026-06-06 08:44:39,WO0018,PROCESS_START,开始处理工单 WO0018,INFO
LOG000076,2026-06-06 08:44:39,WO0018,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000077,2026-06-06 08:44:39,WO0018,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000078,2026-06-06 08:44:39,WO0018,RISK_ASSESS,"响应风险: OVERDUE, 解决风险: UNKNOWN, 综合风险: OVERDUE",INFO
LOG000079,2026-06-06 08:44:39,WO0018,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000080,2026-06-06 08:44:39,WO0019,PROCESS_START,开始处理工单 WO0019,INFO
LOG000081,2026-06-06 08:44:39,WO0019,RULE_MATCH,未匹配到专用规则，使用默认规则 DEFAULT,WARNING
LOG000082,2026-06-06 08:44:39,WO0019,RULE_SELECTED,选用规则: DEFAULT - 默认SLA规则,INFO
LOG000083,2026-06-06 08:44:39,WO0019,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000084,2026-06-06 08:44:39,WO0019,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000085,2026-06-06 08:44:39,WO0020,PROCESS_START,开始处理工单 WO0020,INFO
LOG000086,2026-06-06 08:44:39,WO0020,RULE_SELECTED,选用规则: R007 - 问题单SLA,INFO
LOG000087,2026-06-06 08:44:39,WO0020,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000088,2026-06-06 08:44:39,WO0020,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000089,2026-06-06 08:44:39,WO0021,PROCESS_START,开始处理工单 WO0021,INFO
LOG000090,2026-06-06 08:44:39,WO0021,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000091,2026-06-06 08:44:39,WO0021,RISK_ASSESS,"响应风险: OVERDUE, 解决风险: OVERDUE, 综合风险: OVERDUE",INFO
LOG000092,2026-06-06 08:44:39,WO0021,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000093,2026-06-06 08:44:39,WO0022,PROCESS_START,开始处理工单 WO0022,INFO
LOG000094,2026-06-06 08:44:39,WO0022,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000095,2026-06-06 08:44:39,WO0022,RISK_ASSESS,"响应风险: NORMAL, 解决风险: WARNING, 综合风险: WARNING",INFO
LOG000096,2026-06-06 08:44:39,WO0022,PROCESS_END,工单处理完成，风险等级: WARNING,INFO
LOG000097,2026-06-06 08:44:39,WO0023,PROCESS_START,开始处理工单 WO0023,INFO
LOG000098,2026-06-06 08:44:39,WO0023,RULE_SELECTED,选用规则: R005 - 服务请求SLA,INFO
LOG000099,2026-06-06 08:44:39,WO0023,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000100,2026-06-06 08:44:39,WO0023,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000101,2026-06-06 08:44:39,WO0024,PROCESS_START,开始处理工单 WO0024,INFO
LOG000102,2026-06-06 08:44:39,WO0024,RULE_SELECTED,选用规则: R004 - 低级故障响应SLA,INFO
LOG000103,2026-06-06 08:44:39,WO0024,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000104,2026-06-06 08:44:39,WO0024,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000105,2026-06-06 08:44:39,WO0025,PROCESS_START,开始处理工单 WO0025,INFO
LOG000106,2026-06-06 08:44:39,WO0025,RULE_SELECTED,选用规则: R005 - 服务请求SLA,INFO
LOG000107,2026-06-06 08:44:39,WO0025,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000108,2026-06-06 08:44:39,WO0025,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000109,2026-06-06 08:44:39,WO0026,PROCESS_START,开始处理工单 WO0026,INFO
LOG000110,2026-06-06 08:44:39,WO0026,RULE_MATCH,未匹配到专用规则，使用默认规则 DEFAULT,WARNING
LOG000111,2026-06-06 08:44:39,WO0026,RULE_SELECTED,选用规则: DEFAULT - 默认SLA规则,INFO
LOG000112,2026-06-06 08:44:39,WO0026,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000113,2026-06-06 08:44:39,WO0026,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000114,2026-06-06 08:44:39,WO0027,PROCESS_START,开始处理工单 WO0027,INFO
LOG000115,2026-06-06 08:44:39,WO0027,RULE_SELECTED,选用规则: R008 - P3服务请求SLA,INFO
LOG000116,2026-06-06 08:44:39,WO0027,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000117,2026-06-06 08:44:39,WO0027,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000118,2026-06-06 08:44:39,WO0028,PROCESS_START,开始处理工单 WO0028,INFO
LOG000119,2026-06-06 08:44:39,WO0028,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000120,2026-06-06 08:44:39,WO0028,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000121,2026-06-06 08:44:39,WO0028,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000122,2026-06-06 08:44:39,WO0029,PROCESS_START,开始处理工单 WO0029,INFO
LOG000123,2026-06-06 08:44:39,WO0029,RULE_MATCH,未匹配到专用规则，使用默认规则 DEFAULT,WARNING
LOG000124,2026-06-06 08:44:39,WO0029,RULE_SELECTED,选用规则: DEFAULT - 默认SLA规则,INFO
LOG000125,2026-06-06 08:44:39,WO0029,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000126,2026-06-06 08:44:39,WO0029,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000127,2026-06-06 08:44:39,WO0030,PROCESS_START,开始处理工单 WO0030,INFO
LOG000128,2026-06-06 08:44:39,WO0030,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000129,2026-06-06 08:44:39,WO0030,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000130,2026-06-06 08:44:39,WO0030,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000131,2026-06-06 08:44:39,WO0031,PROCESS_START,开始处理工单 WO0031,INFO
LOG000132,2026-06-06 08:44:39,WO0031,FIELD_MISSING,"缺失字段: ['create_time', 'status']",ERROR
LOG000133,2026-06-06 08:44:39,WO0031,OUT_OF_WINDOW,工单不在统计周期内 (创建时间: ),WARNING
LOG000134,2026-06-06 08:44:39,WO0031,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000135,2026-06-06 08:44:39,WO0031,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000136,2026-06-06 08:44:39,WO0031,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: UNKNOWN, 综合风险: UNKNOWN",INFO
LOG000137,2026-06-06 08:44:39,WO0031,PROCESS_END,工单处理完成，风险等级: UNKNOWN,INFO
LOG000138,2026-06-06 08:44:39,WO0032,PROCESS_START,开始处理工单 WO0032,INFO
LOG000139,2026-06-06 08:44:39,WO0032,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000140,2026-06-06 08:44:39,WO0032,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000141,2026-06-06 08:44:39,WO0032,RISK_ASSESS,"响应风险: NORMAL, 解决风险: OVERDUE, 综合风险: OVERDUE",INFO
LOG000142,2026-06-06 08:44:39,WO0032,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000143,2026-06-06 08:44:39,WO0033,PROCESS_START,开始处理工单 WO0033,INFO
LOG000144,2026-06-06 08:44:39,WO0033,FIELD_MISSING,"缺失字段: ['create_time', 'status']",ERROR
LOG000145,2026-06-06 08:44:39,WO0033,OUT_OF_WINDOW,工单不在统计周期内 (创建时间: ),WARNING
LOG000146,2026-06-06 08:44:39,WO0033,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000147,2026-06-06 08:44:39,WO0033,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: UNKNOWN, 综合风险: UNKNOWN",INFO
LOG000148,2026-06-06 08:44:39,WO0033,PROCESS_END,工单处理完成，风险等级: UNKNOWN,INFO
LOG000149,2026-06-06 08:44:39,WO0034,PROCESS_START,开始处理工单 WO0034,INFO
LOG000150,2026-06-06 08:44:39,WO0034,RULE_SELECTED,选用规则: R008 - P3服务请求SLA,INFO
LOG000151,2026-06-06 08:44:39,WO0034,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000152,2026-06-06 08:44:39,WO0034,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000153,2026-06-06 08:44:39,WO0035,PROCESS_START,开始处理工单 WO0035,INFO
LOG000154,2026-06-06 08:44:39,WO0035,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000155,2026-06-06 08:44:39,WO0035,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000156,2026-06-06 08:44:39,WO0035,RISK_ASSESS,"响应风险: NORMAL, 解决风险: OVERDUE, 综合风险: OVERDUE",INFO
LOG000157,2026-06-06 08:44:39,WO0035,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000158,2026-06-06 08:44:39,WO0036,PROCESS_START,开始处理工单 WO0036,INFO
LOG000159,2026-06-06 08:44:39,WO0036,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000160,2026-06-06 08:44:39,WO0036,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000161,2026-06-06 08:44:39,WO0036,RISK_ASSESS,"响应风险: NORMAL, 解决风险: OVERDUE, 综合风险: OVERDUE",INFO
LOG000162,2026-06-06 08:44:39,WO0036,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000163,2026-06-06 08:44:39,WO0036,DUPLICATE_DETECTED,检测到 1 个疑似重复工单,WARNING
LOG000164,2026-06-06 08:44:39,WO0037,PROCESS_START,开始处理工单 WO0037,INFO
LOG000165,2026-06-06 08:44:39,WO0037,OUT_OF_WINDOW,工单不在统计周期内 (创建时间: 2026-05-28 08:00:00),WARNING
LOG000166,2026-06-06 08:44:39,WO0037,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000167,2026-06-06 08:44:39,WO0037,RISK_ASSESS,"响应风险: SEVERE, 解决风险: SEVERE, 综合风险: SEVERE",INFO
LOG000168,2026-06-06 08:44:39,WO0037,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000169,2026-06-06 08:44:39,WO0038,PROCESS_START,开始处理工单 WO0038,INFO
LOG000170,2026-06-06 08:44:39,WO0038,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000171,2026-06-06 08:44:39,WO0038,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000172,2026-06-06 08:44:39,WO0038,RISK_ASSESS,"响应风险: SEVERE, 解决风险: OVERDUE, 综合风险: SEVERE",INFO
LOG000173,2026-06-06 08:44:39,WO0038,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000174,2026-06-06 08:44:39,WO0039,PROCESS_START,开始处理工单 WO0039,INFO
LOG000175,2026-06-06 08:44:39,WO0039,RULE_SELECTED,选用规则: R008 - P3服务请求SLA,INFO
LOG000176,2026-06-06 08:44:39,WO0039,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000177,2026-06-06 08:44:39,WO0039,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000178,2026-06-06 08:44:39,WO0040,PROCESS_START,开始处理工单 WO0040,INFO
LOG000179,2026-06-06 08:44:39,WO0040,RULE_SELECTED,选用规则: R006 - 变更单SLA,INFO
LOG000180,2026-06-06 08:44:39,WO0040,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000181,2026-06-06 08:44:39,WO0040,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000182,2026-06-06 08:44:39,WO0041,PROCESS_START,开始处理工单 WO0041,INFO
LOG000183,2026-06-06 08:44:39,WO0041,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000184,2026-06-06 08:44:39,WO0041,RISK_ASSESS,"响应风险: OVERDUE, 解决风险: OVERDUE, 综合风险: OVERDUE",INFO
LOG000185,2026-06-06 08:44:39,WO0041,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000186,2026-06-06 08:44:39,WO0042,PROCESS_START,开始处理工单 WO0042,INFO
LOG000187,2026-06-06 08:44:39,WO0042,OUT_OF_WINDOW,工单不在统计周期内 (创建时间: 2026-05-20 09:00:00),WARNING
LOG000188,2026-06-06 08:44:39,WO0042,RULE_SELECTED,选用规则: R004 - 低级故障响应SLA,INFO
LOG000189,2026-06-06 08:44:39,WO0042,RISK_ASSESS,"响应风险: NORMAL, 解决风险: SEVERE, 综合风险: SEVERE",INFO
LOG000190,2026-06-06 08:44:39,WO0042,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000191,2026-06-06 08:44:39,WO0043,PROCESS_START,开始处理工单 WO0043,INFO
LOG000192,2026-06-06 08:44:39,WO0043,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000193,2026-06-06 08:44:39,WO0043,RISK_ASSESS,"响应风险: NORMAL, 解决风险: WARNING, 综合风险: WARNING",INFO
LOG000194,2026-06-06 08:44:39,WO0043,PROCESS_END,工单处理完成，风险等级: WARNING,INFO
LOG000195,2026-06-06 08:44:39,WO0043,DUPLICATE_DETECTED,检测到 1 个疑似重复工单,WARNING
LOG000196,2026-06-06 08:44:39,WO0044,PROCESS_START,开始处理工单 WO0044,INFO
LOG000197,2026-06-06 08:44:39,WO0044,RULE_SELECTED,选用规则: R005 - 服务请求SLA,INFO
LOG000198,2026-06-06 08:44:39,WO0044,RISK_ASSESS,"响应风险: UNKNOWN, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000199,2026-06-06 08:44:39,WO0044,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000200,2026-06-06 08:44:39,WO0045,PROCESS_START,开始处理工单 WO0045,INFO
LOG000201,2026-06-06 08:44:39,WO0045,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000202,2026-06-06 08:44:39,WO0045,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
LOG000203,2026-06-06 08:44:39,WO0045,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000204,2026-06-06 08:44:39,WO0045,DUPLICATE_DETECTED,检测到 1 个疑似重复工单,WARNING
LOG000205,2026-06-06 08:44:39,SYSTEM,BATCH_END,批量处理完成，共 45 条，其中异常 32 条,INFO
LOG000206,2026-06-06 08:44:39,SYSTEM,GENERATE_DETAIL,生成明细表: /Users/bill/Documents/solo/workspaces/yzz00210/output/sla_detail.csv,INFO
LOG000207,2026-06-06 08:44:39,SYSTEM,GENERATE_SUMMARY,生成汇总报告: /Users/bill/Documents/solo/workspaces/yzz00210/output/sla_summary.json,INFO
LOG000208,2026-06-06 08:44:39,SYSTEM,GENERATE_ISSUES,生成问题清单，共 32 条: /Users/bill/Documents/solo/workspaces/yzz00210/output/sla_issues.csv,INFO
LOG000209,2026-06-06 08:44:39,SYSTEM,GENERATE_TEXT_SUMMARY,生成文本摘要: /Users/bill/Documents/solo/workspaces/yzz00210/output/sla_summary.txt,INFO
LOG000210,2026-06-06 08:44:39,SYSTEM,SAVE_EXPLANATION,保存可解释性数据: /Users/bill/Documents/solo/workspaces/yzz00210/output/sla_explanation.json,INFO
