模板路径,模板名称,科室,状态,问题类型,严重级别,行号,列号,问题描述,上下文,是否业务例外,例外原因,确认人,确认日期
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,4,13,必填变量 '体重' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,8,6,必填变量 '用药剂量' 没有默认值,用药剂量：【用药剂量】U,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,13,8,变量 '请填写监测频次' 不在变量规则定义中，无法确认是否有默认值,血糖监测方案：【请填写监测频次】,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,15,6,必填变量 '医生签名' 没有默认值,医生签名：【医生签名】,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,0,0,规则要求的变量 '药品名称' 在模板中未出现且无默认值,,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,禁用表述,error,13,9,发现占位符/禁用表述: 请填写提示占位符 → '请填写',血糖监测方案：【请填写监测频次】,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,3,1,必填变量 '患者姓名' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,3,9,必填变量 '住院号' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,4,4,必填变量 '年龄' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,4,13,必填变量 '体重' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,13,6,必填变量 '医生签名' 没有默认值,医生签名：【医生签名】,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,0,0,规则要求的变量 '用药剂量' 在模板中未出现且无默认值,,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,默认值缺失,warning,0,0,规则要求的变量 '药品名称' 在模板中未出现且无默认值,,,,,
sample/奥美拉唑静脉方案.order,奥美拉唑静脉方案,消化内科,在用,禁用表述,error,15,6,禁用表述: 引用外部说明，模板应自含剂量信息 → '按说明书',备注：剂量按说明书,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,3,1,必填变量 '患者姓名' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,3,9,必填变量 '住院号' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,4,4,必填变量 '年龄' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,4,13,必填变量 '体重' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,15,6,必填变量 '医生签名' 没有默认值,医生签名：【医生签名】,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,0,0,规则要求的变量 '用药剂量' 在模板中未出现且无默认值,,,,,
sample/地塞米松冲击方案.order,地塞米松冲击方案,风湿免疫科,在用,默认值缺失,warning,0,0,规则要求的变量 '药品名称' 在模板中未出现且无默认值,,,,,
