anomaly_type,risk_level,pond_id,feed_date,feed_time,plan_amount_kg,actual_amount_kg,deviation_kg,deviation_pct,water_temp,water_do,water_ph,water_salinity,is_supplement,supplement_time,supplement_after_feed,review_status,reviewer,anomaly_detail,record_id,_source_file,operator,review_time,notes,计划编号,备注,feed_type,water_ammonia_nitrogen,water_nitrite,water_records,water_date_enriched,latest_supplement_time
溶解氧过低,中,P008,2026-05-31,08:15:00,53.0,55.3,2.299999999999997,4.34,27.0,4.6,8.2,25.4,True,2026-06-01 18:00:00,True,已复核,李场长,溶氧 4.6mg/L 低于阈值 5.0mg/L,REC000058,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000058,,配合饲料B,0.3,0.034,1,2026-05-31,2026-06-01 18:00:00
补录时间异常,中,P008,2026-05-31,08:15:00,53.0,55.3,2.299999999999997,4.34,27.0,4.6,8.2,25.4,True,2026-06-01 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-01 18:00:00),REC000058,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000058,,配合饲料B,0.3,0.034,1,2026-05-31,2026-06-01 18:00:00
投喂量偏差,中,P003,2026-06-01,08:15:00,23.2,19.3,-3.8999999999999986,-16.81,27.3,4.5,7.8,28.6,False,,,已复核,李场长,偏差 -16.8% (计划23.2kg / 实际19.3kg),REC000063,feed_records_june.json,王五,2026-06-01 17:30:00,,PL000063,,配合饲料A,0.69,0.061,1,,
溶解氧过低,中,P003,2026-06-01,08:15:00,23.2,19.3,-3.8999999999999986,-16.81,27.3,4.5,7.8,28.6,False,,,已复核,李场长,溶氧 4.5mg/L 低于阈值 5.0mg/L,REC000063,feed_records_june.json,王五,2026-06-01 17:30:00,,PL000063,,配合饲料A,0.69,0.061,1,,
水温过高,中,P004,2026-06-01,08:15:00,54.2,73.1,18.89999999999999,34.87,28.2,7.0,8.2,29.0,True,2026-06-02 18:00:00,True,已复核,李场长,水温 28.2℃ 高于阈值 28.0℃,REC000064,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000064,,生鲜饵料,0.24,0.119,1,2026-06-01,2026-06-02 18:00:00
补录时间异常,中,P004,2026-06-01,08:15:00,54.2,73.1,18.89999999999999,34.87,28.2,7.0,8.2,29.0,True,2026-06-02 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-02 18:00:00),REC000064,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000064,,生鲜饵料,0.24,0.119,1,2026-06-01,2026-06-02 18:00:00
水温过高,中,P007,2026-06-01,08:15:00,71.4,64.5,-6.900000000000006,-9.66,28.4,5.5,7.9,23.0,False,,,已复核,李场长,水温 28.4℃ 高于阈值 28.0℃,REC000067,feed_records_june.json,张三,2026-06-01 17:30:00,,PL000067,,配合饲料A,0.6,0.096,1,,
水温过高,中,P008,2026-06-01,08:15:00,34.1,38.8,4.699999999999996,13.78,30.2,7.0,8.7,28.6,True,2026-06-02 18:00:00,True,已复核,李场长,水温 30.2℃ 高于阈值 28.0℃,REC000068,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000068,,配合饲料A,0.28,0.116,1,2026-06-01,2026-06-02 18:00:00
补录时间异常,中,P008,2026-06-01,08:15:00,34.1,38.8,4.699999999999996,13.78,30.2,7.0,8.7,28.6,True,2026-06-02 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-02 18:00:00),REC000068,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000068,,配合饲料A,0.28,0.116,1,2026-06-01,2026-06-02 18:00:00
水温过高,中,P010,2026-06-01,08:15:00,29.6,31.7,2.099999999999998,7.09,28.9,8.0,8.5,31.2,False,,,已复核,李场长,水温 28.9℃ 高于阈值 28.0℃,REC000070,feed_records_june.json,李四,2026-06-01 17:30:00,,PL000070,,生鲜饵料,0.79,0.095,1,,
溶解氧过低,中,P004,2026-06-02,08:15:00,36.3,37.3,1.0,2.75,22.3,4.7,8.4,22.9,False,,,已复核,李场长,溶氧 4.7mg/L 低于阈值 5.0mg/L,REC000074,feed_records_june.json,王五,2026-06-02 17:30:00,,PL000074,,配合饲料A,0.21,0.033,1,,
补录时间异常,中,P010,2026-06-02,08:15:00,48.0,50.8,2.799999999999997,5.83,22.9,7.3,8.6,29.1,True,2026-06-03 18:00:00,True,未复核,,水质数据补录晚于投喂时间 (补录时间: 2026-06-03 18:00:00),REC000080,feed_records_june.json,赵六,,,PL000080,,配合饲料B,0.73,0.031,1,2026-06-02,2026-06-03 18:00:00
溶解氧过低,中,P005,2026-06-03,08:15:00,39.0,41.7,2.700000000000003,6.92,24.4,4.5,8.4,30.2,False,,,已复核,李场长,溶氧 4.5mg/L 低于阈值 5.0mg/L,REC000085,feed_records_june.json,李四,2026-06-03 17:30:00,,PL000085,,配合饲料B,0.24,0.089,1,,
投喂量偏差,中,P006,2026-06-03,08:15:00,26.2,20.5,-5.699999999999999,-21.76,22.2,7.4,7.7,31.3,False,,,已复核,李场长,偏差 -21.8% (计划26.2kg / 实际20.5kg),REC000086,feed_records_june.json,赵六,2026-06-03 17:30:00,,PL000086,,配合饲料B,0.3,0.101,1,,
溶解氧过低,中,P008,2026-06-03,08:15:00,54.7,52.3,-2.4000000000000057,-4.39,24.5,4.7,7.3,31.4,False,,,已复核,李场长,溶氧 4.7mg/L 低于阈值 5.0mg/L,REC000088,feed_records_june.json,张三,2026-06-03 17:30:00,,PL000088,,生鲜饵料,0.15,0.085,1,,
投喂量偏差,中,P002,2026-06-04,08:15:00,58.1,69.6,11.499999999999993,19.79,25.9,6.0,7.5,28.6,False,,,已复核,李场长,偏差 19.8% (计划58.1kg / 实际69.6kg),REC000092,feed_records_june.json,赵六,2026-06-04 17:30:00,,PL000092,,配合饲料A,0.8,0.102,1,,
溶解氧过低,中,P006,2026-06-04,08:15:00,55.3,54.5,-0.7999999999999972,-1.45,22.7,4.6,7.6,23.3,False,,,已复核,李场长,溶氧 4.6mg/L 低于阈值 5.0mg/L,REC000096,feed_records_june.json,张三,2026-06-04 17:30:00,,PL000096,,配合饲料A,0.72,0.061,1,,
水温过低,中,P001,2026-06-05,08:15:00,61.6,64.4,2.8000000000000043,4.55,17.8,7.9,8.4,27.4,False,,,已复核,李场长,水温 17.8℃ 低于阈值 18.0℃,REC000101,feed_records_june.json,赵六,2026-06-05 17:30:00,,PL000101,,配合饲料B,0.28,0.135,1,,
投喂量偏差,中,P002,2026-06-05,08:15:00,73.6,52.2,-21.39999999999999,-29.08,20.1,5.1,7.8,30.0,False,,,已复核,李场长,偏差 -29.1% (计划73.6kg / 实际52.2kg),REC000102,feed_records_june.json,张三,2026-06-05 17:30:00,,PL000102,,配合饲料A,0.75,0.095,1,,
投喂量偏差,中,P006,2026-06-05,08:15:00,69.5,54.4,-15.100000000000001,-21.73,16.8,7.3,8.3,22.4,False,,,未复核,,偏差 -21.7% (计划69.5kg / 实际54.4kg),REC000106,feed_records_june.json,李四,,,PL000106,,配合饲料B,0.76,0.037,1,,
水温过低,中,P006,2026-06-05,08:15:00,69.5,54.4,-15.100000000000001,-21.73,16.8,7.3,8.3,22.4,False,,,未复核,,水温 16.8℃ 低于阈值 18.0℃,REC000106,feed_records_june.json,李四,,,PL000106,,配合饲料B,0.76,0.037,1,,
水温过低,中,P008,2026-06-05,08:15:00,26.0,27.6,1.6000000000000014,6.15,16.5,5.2,8.1,24.0,False,,,已复核,李场长,水温 16.5℃ 低于阈值 18.0℃,REC000108,feed_records_june.json,张三,2026-06-05 17:30:00,,PL000108,,配合饲料B,0.19,0.141,1,,
补录时间异常,中,P009,2026-06-05,08:15:00,56.1,53.9,-2.200000000000003,-3.92,19.7,5.1,7.8,29.8,True,2026-06-06 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-06 18:00:00),REC000109,feed_records_june.json,张三,2026-06-05 17:30:00,,PL000109,,配合饲料B,0.56,0.135,1,2026-06-05,2026-06-06 18:00:00
水温过低,中,P010,2026-06-05,08:15:00,49.8,42.5,-7.299999999999997,-14.66,16.4,8.5,8.5,23.8,False,,,已复核,李场长,水温 16.4℃ 低于阈值 18.0℃,REC000110,feed_records_june.json,王五,2026-06-05 17:30:00,,PL000110,,生鲜饵料,0.21,0.055,1,,
补录时间异常,中,P002,2026-06-06,08:15:00,23.9,27.0,3.1000000000000014,12.97,18.4,5.1,8.0,29.6,True,2026-06-07 18:00:00,True,未复核,,水质数据补录晚于投喂时间 (补录时间: 2026-06-07 18:00:00),REC000112,feed_records_june.json,王五,,,PL000112,,配合饲料A,0.35,0.142,1,2026-06-06,2026-06-07 18:00:00
水温过低,中,P003,2026-06-06,08:15:00,25.4,21.8,-3.599999999999998,-14.17,17.5,7.2,8.8,31.4,False,,,已复核,李场长,水温 17.5℃ 低于阈值 18.0℃,REC000113,feed_records_june.json,张三,2026-06-06 17:30:00,,PL000113,,配合饲料B,0.41,0.048,1,,
水温过低,中,P004,2026-06-06,08:15:00,22.3,25.5,3.1999999999999993,14.35,16.4,6.8,7.5,23.6,False,,,已复核,李场长,水温 16.4℃ 低于阈值 18.0℃,REC000114,feed_records_june.json,赵六,2026-06-06 17:30:00,,PL000114,,配合饲料A,0.74,0.078,1,,
水温过低,中,P006,2026-06-06,08:15:00,71.8,72.0,0.20000000000000284,0.28,17.5,6.3,7.2,29.9,True,2026-06-07 18:00:00,True,已复核,李场长,水温 17.5℃ 低于阈值 18.0℃,REC000116,feed_records_june.json,张三,2026-06-06 17:30:00,,PL000116,,配合饲料A,0.43,0.13,1,2026-06-06,2026-06-07 18:00:00
补录时间异常,中,P006,2026-06-06,08:15:00,71.8,72.0,0.20000000000000284,0.28,17.5,6.3,7.2,29.9,True,2026-06-07 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-07 18:00:00),REC000116,feed_records_june.json,张三,2026-06-06 17:30:00,,PL000116,,配合饲料A,0.43,0.13,1,2026-06-06,2026-06-07 18:00:00
水温过低,中,P007,2026-06-06,08:15:00,59.1,52.8,-6.300000000000004,-10.66,16.4,4.6,7.8,28.9,False,,,未复核,,水温 16.4℃ 低于阈值 18.0℃,REC000117,feed_records_june.json,张三,,,PL000117,,生鲜饵料,0.74,0.024,1,,
溶解氧过低,中,P007,2026-06-06,08:15:00,59.1,52.8,-6.300000000000004,-10.66,16.4,4.6,7.8,28.9,False,,,未复核,,溶氧 4.6mg/L 低于阈值 5.0mg/L,REC000117,feed_records_june.json,张三,,,PL000117,,生鲜饵料,0.74,0.024,1,,
水温过低,中,P008,2026-06-06,08:15:00,52.2,53.9,1.6999999999999957,3.26,17.0,4.7,7.7,27.9,False,,,已复核,李场长,水温 17.0℃ 低于阈值 18.0℃,REC000118,feed_records_june.json,王五,2026-06-06 17:30:00,,PL000118,,配合饲料B,0.12,0.102,1,,
溶解氧过低,中,P008,2026-06-06,08:15:00,52.2,53.9,1.6999999999999957,3.26,17.0,4.7,7.7,27.9,False,,,已复核,李场长,溶氧 4.7mg/L 低于阈值 5.0mg/L,REC000118,feed_records_june.json,王五,2026-06-06 17:30:00,,PL000118,,配合饲料B,0.12,0.102,1,,
水温过低,中,P009,2026-06-06,08:15:00,77.5,70.0,-7.5,-9.68,16.0,4.9,8.7,27.4,False,,,未复核,,水温 16.0℃ 低于阈值 18.0℃,REC000119,feed_records_june.json,李四,,,PL000119,,生鲜饵料,0.53,0.13,1,,
溶解氧过低,中,P009,2026-06-06,08:15:00,77.5,70.0,-7.5,-9.68,16.0,4.9,8.7,27.4,False,,,未复核,,溶氧 4.9mg/L 低于阈值 5.0mg/L,REC000119,feed_records_june.json,李四,,,PL000119,,生鲜饵料,0.53,0.13,1,,
水温过低,中,P010,2026-06-06,08:15:00,71.6,75.5,3.9000000000000057,5.45,17.0,6.1,8.7,23.5,False,,,未复核,,水温 17.0℃ 低于阈值 18.0℃,REC000120,feed_records_june.json,赵六,,,PL000120,,配合饲料A,0.42,0.086,1,,
溶解氧过低,中,P006,2026-06-07,08:15:00,29.9,29.2,-0.6999999999999993,-2.34,25.7,4.9,7.4,27.6,False,,,已复核,李场长,溶氧 4.9mg/L 低于阈值 5.0mg/L,REC000126,feed_records_june.json,赵六,2026-06-07 17:30:00,,PL000126,,配合饲料B,0.31,0.012,1,,
补录时间异常,中,P007,2026-06-07,08:15:00,32.9,33.8,0.8999999999999986,2.74,23.3,8.1,7.7,25.5,True,2026-06-08 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-08 18:00:00),REC000127,feed_records_june.json,王五,2026-06-07 17:30:00,,PL000127,,配合饲料A,0.5,0.084,1,2026-06-07,2026-06-08 18:00:00
补录时间异常,中,P009,2026-06-07,08:15:00,66.0,58.1,-7.899999999999999,-11.97,25.6,5.1,7.5,27.6,True,2026-06-08 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-08 18:00:00),REC000129,feed_records_june.json,张三,2026-06-07 17:30:00,,PL000129,,配合饲料B,0.6,0.027,1,2026-06-07,2026-06-08 18:00:00
溶解氧过低,中,P010,2026-06-07,08:15:00,42.7,48.1,5.399999999999999,12.65,23.6,4.7,8.7,26.4,False,,,未复核,,溶氧 4.7mg/L 低于阈值 5.0mg/L,REC000130,feed_records_june.json,李四,,,PL000130,,配合饲料B,0.71,0.13,1,,
溶解氧过低,中,P008,2026-06-08,08:15:00,44.5,44.8,0.29999999999999716,0.67,23.7,4.6,7.7,27.6,False,,,未复核,,溶氧 4.6mg/L 低于阈值 5.0mg/L,REC000138,feed_records_june.json,张三,,,PL000138,,配合饲料B,0.33,0.061,1,,
pH偏低,低,P002,2026-05-26,08:15:00,27.6,28.7,1.0999999999999979,3.99,25.8,7.2,7.3,23.3,False,,,已复核,李场长,pH 7.3 低于阈值 7.5,REC000002,feed_records_june.json,张三,2026-05-26 17:30:00,,PL000002,,配合饲料B,0.19,0.022,1,,
投喂量偏差,低,P003,2026-05-26,08:15:00,58.4,50.0,-8.399999999999999,-14.38,24.7,5.9,7.4,25.5,False,,,未复核,,偏差 -14.4% (计划58.4kg / 实际50.0kg),REC000003,feed_records_june.json,张三,,,PL000003,,配合饲料B,0.44,0.069,1,,
pH偏低,低,P003,2026-05-26,08:15:00,58.4,50.0,-8.399999999999999,-14.38,24.7,5.9,7.4,25.5,False,,,未复核,,pH 7.4 低于阈值 7.5,REC000003,feed_records_june.json,张三,,,PL000003,,配合饲料B,0.44,0.069,1,,
投喂量偏差,低,P004,2026-05-26,08:15:00,51.7,58.6,6.899999999999999,13.35,22.2,8.1,8.6,31.0,False,,,已复核,李场长,偏差 13.3% (计划51.7kg / 实际58.6kg),REC000004,feed_records_june.json,李四,2026-05-26 17:30:00,,PL000004,,生鲜饵料,0.46,0.137,1,,
pH偏高,低,P004,2026-05-26,08:15:00,51.7,58.6,6.899999999999999,13.35,22.2,8.1,8.6,31.0,False,,,已复核,李场长,pH 8.6 高于阈值 8.5,REC000004,feed_records_june.json,李四,2026-05-26 17:30:00,,PL000004,,生鲜饵料,0.46,0.137,1,,
投喂量偏差,低,P005,2026-05-26,08:15:00,44.2,48.8,4.599999999999994,10.41,24.5,5.8,8.3,25.8,False,,,已复核,李场长,偏差 10.4% (计划44.2kg / 实际48.8kg),REC000005,feed_records_june.json,张三,2026-05-26 17:30:00,,PL000005,,配合饲料A,0.68,0.08,1,,
pH偏高,低,P007,2026-05-26,08:15:00,66.3,52.4,-13.899999999999999,-20.97,22.8,8.2,8.7,25.7,False,,,已复核,李场长,pH 8.7 高于阈值 8.5,REC000007,feed_records_june.json,王五,2026-05-26 17:30:00,,PL000007,,配合饲料A,0.66,0.054,1,,
投喂量偏差,低,P008,2026-05-26,08:15:00,29.5,33.3,3.799999999999997,12.88,24.4,8.5,8.1,25.5,True,2026-05-27 18:00:00,True,已复核,李场长,偏差 12.9% (计划29.5kg / 实际33.3kg),REC000008,feed_records_june.json,李四,2026-05-26 17:30:00,,PL000008,,配合饲料A,0.6,0.065,1,2026-05-26,2026-05-27 18:00:00
pH偏低,低,P009,2026-05-26,08:15:00,23.4,22.0,-1.3999999999999986,-5.98,23.2,7.2,7.2,28.2,False,,,已复核,李场长,pH 7.2 低于阈值 7.5,REC000009,feed_records_june.json,赵六,2026-05-26 17:30:00,,PL000009,,配合饲料A,0.35,0.045,1,,
投喂量偏差,低,P003,2026-05-27,08:15:00,20.4,22.7,2.3000000000000007,11.27,22.3,5.7,8.0,30.6,False,,,已复核,李场长,偏差 11.3% (计划20.4kg / 实际22.7kg),REC000013,feed_records_june.json,李四,2026-05-27 17:30:00,,PL000013,,配合饲料B,0.68,0.13,1,,
pH偏高,低,P004,2026-05-27,08:15:00,65.5,67.9,2.4000000000000057,3.66,24.7,7.0,8.6,27.7,False,,,已复核,李场长,pH 8.6 高于阈值 8.5,REC000014,feed_records_june.json,李四,2026-05-27 17:30:00,,PL000014,,生鲜饵料,0.12,0.06,1,,
投喂量偏差,低,P006,2026-05-27,08:15:00,64.5,56.8,-7.700000000000003,-11.94,25.6,5.7,7.8,31.9,False,,,已复核,李场长,偏差 -11.9% (计划64.5kg / 实际56.8kg),REC000016,feed_records_june.json,李四,2026-05-27 17:30:00,,PL000016,,配合饲料B,0.25,0.031,1,,
pH偏低,低,P007,2026-05-27,08:15:00,34.3,32.4,-1.8999999999999986,-5.54,23.8,8.4,7.4,29.9,False,,,已复核,李场长,pH 7.4 低于阈值 7.5,REC000017,feed_records_june.json,王五,2026-05-27 17:30:00,,PL000017,,配合饲料A,0.62,0.125,1,,
pH偏高,低,P010,2026-05-27,08:15:00,75.4,77.9,2.5,3.32,24.8,7.5,8.7,23.1,False,,,已复核,李场长,pH 8.7 高于阈值 8.5,REC000020,feed_records_june.json,赵六,2026-05-27 17:30:00,,PL000020,,配合饲料A,0.42,0.119,1,,
投喂量偏差,低,P003,2026-05-28,08:15:00,37.1,32.5,-4.600000000000001,-12.4,23.6,6.7,7.3,26.1,True,2026-05-29 18:00:00,True,已复核,李场长,偏差 -12.4% (计划37.1kg / 实际32.5kg),REC000023,feed_records_june.json,张三,2026-05-28 17:30:00,,PL000023,,配合饲料A,0.39,0.028,1,2026-05-28,2026-05-29 18:00:00
pH偏低,低,P003,2026-05-28,08:15:00,37.1,32.5,-4.600000000000001,-12.4,23.6,6.7,7.3,26.1,True,2026-05-29 18:00:00,True,已复核,李场长,pH 7.3 低于阈值 7.5,REC000023,feed_records_june.json,张三,2026-05-28 17:30:00,,PL000023,,配合饲料A,0.39,0.028,1,2026-05-28,2026-05-29 18:00:00
投喂量偏差,低,P009,2026-05-28,08:15:00,57.6,51.0,-6.600000000000001,-11.46,23.4,6.3,8.3,28.1,False,,,已复核,李场长,偏差 -11.5% (计划57.6kg / 实际51.0kg),REC000029,feed_records_june.json,张三,2026-05-28 17:30:00,,PL000029,,生鲜饵料,0.29,0.117,1,,
投喂量偏差,低,P006,2026-05-29,08:15:00,46.5,40.6,-5.899999999999999,-12.69,22.6,8.4,8.5,24.5,False,,,已复核,李场长,偏差 -12.7% (计划46.5kg / 实际40.6kg),REC000036,feed_records_june.json,张三,2026-05-29 17:30:00,,PL000036,,配合饲料B,0.77,0.098,1,,
pH偏低,低,P002,2026-05-30,08:15:00,64.3,63.5,-0.7999999999999972,-1.24,23.4,6.4,7.3,29.9,False,,,已复核,李场长,pH 7.3 低于阈值 7.5,REC000042,feed_records_june.json,王五,2026-05-30 17:30:00,,PL000042,,配合饲料B,0.48,0.043,1,,
投喂量偏差,低,P004,2026-05-30,08:15:00,53.9,61.9,8.0,14.84,23.8,8.4,7.6,23.8,True,2026-05-31 18:00:00,True,已复核,李场长,偏差 14.8% (计划53.9kg / 实际61.9kg),REC000044,feed_records_june.json,王五,2026-05-30 17:30:00,,PL000044,,配合饲料B,0.17,0.136,1,2026-05-30,2026-05-31 18:00:00
投喂量偏差,低,P005,2026-05-30,08:15:00,30.3,33.5,3.1999999999999993,10.56,23.3,5.3,8.6,24.8,False,,,未复核,,偏差 10.6% (计划30.3kg / 实际33.5kg),REC000045,feed_records_june.json,赵六,,,PL000045,,配合饲料B,0.69,0.049,1,,
pH偏高,低,P005,2026-05-30,08:15:00,30.3,33.5,3.1999999999999993,10.56,23.3,5.3,8.6,24.8,False,,,未复核,,pH 8.6 高于阈值 8.5,REC000045,feed_records_june.json,赵六,,,PL000045,,配合饲料B,0.69,0.049,1,,
pH偏低,低,P006,2026-05-30,08:15:00,67.9,62.4,-5.500000000000007,-8.1,22.1,7.8,7.3,31.0,False,,,已复核,李场长,pH 7.3 低于阈值 7.5,REC000046,feed_records_june.json,李四,2026-05-30 17:30:00,,PL000046,,配合饲料A,0.72,0.119,1,,
投喂量偏差,低,P008,2026-05-30,08:15:00,24.6,21.2,-3.400000000000002,-13.82,23.9,5.2,7.7,30.7,False,,,未复核,,偏差 -13.8% (计划24.6kg / 实际21.2kg),REC000048,feed_records_june.json,李四,,,PL000048,,生鲜饵料,0.63,0.126,1,,
