记录编号,养殖池编号,检测日期,检测时间,水温,溶解氧,pH值,盐度,氨氮,亚硝酸盐,是否补录,补录时间,检测人
W000126,P006,2026-06-07,07:30:00,25.7,4.9,7.4,27.6,0.31,0.012,否,,王检验
W000127,P007,2026-06-07,07:30:00,23.3,8.1,7.7,25.5,0.5,0.084,是,2026-06-08 18:00:00,王检验
W000128,P008,2026-06-07,07:30:00,24.4,7.2,7.2,31.7,0.35,0.14,否,,陈技术员
W000129,P009,2026-06-07,07:30:00,25.6,5.1,7.5,27.6,0.6,0.027,是,2026-06-08 18:00:00,陈技术员
W000130,P010,2026-06-07,07:30:00,23.6,4.7,8.7,26.4,0.71,0.13,否,,陈技术员
W000131,P001,2026-06-08,07:30:00,22.4,6.8,7.7,25.2,0.38,0.125,否,,陈技术员
W000132,P002,2026-06-08,07:30:00,24.0,6.9,7.9,22.8,0.3,0.049,否,,王检验
W000133,P003,2026-06-08,07:30:00,24.1,8.0,7.5,29.2,0.68,0.057,否,,王检验
W000134,P004,2026-06-08,07:30:00,24.5,7.9,8.7,26.7,0.79,0.131,否,,王检验
W000135,P005,2026-06-08,07:30:00,24.9,6.2,8.0,25.2,0.25,0.032,否,,陈技术员
W000136,P006,2026-06-08,07:30:00,24.2,8.4,8.0,28.9,0.54,0.055,否,,陈技术员
W000137,P007,2026-06-08,07:30:00,25.0,5.3,7.6,30.5,0.2,0.015,否,,王检验
W000138,P008,2026-06-08,07:30:00,23.7,4.6,7.7,27.6,0.33,0.061,否,,王检验
W000139,P009,2026-06-08,07:30:00,24.3,7.0,8.0,25.6,0.4,0.058,否,,王检验
W000140,P010,2026-06-08,07:30:00,23.3,5.4,7.6,29.7,0.21,0.094,否,,王检验
